Manufacturer,Model Name,Category,Screen Size,Screen,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros)
Asus,FX753VE-GC155T (i7-7700HQ/16GB/1TB,Gaming,"17.3""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX1050 Ti,Windows,10,3kg,1504
Lenovo,Legion Y720-15IKB,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,3.2kg,1399
HP,Spectre X360,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.32kg,1399
Dell,Latitude 5480,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.64kg,1279.73
HP,ProBook 440,Notebook,"15.6""",1366x768,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.63kg,689
Dell,Inspiron 5770,Notebook,"17.3""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,,2.8kg,889
Lenovo,ThinkPad L470,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 520,Windows,7,2.02kg,1340
Lenovo,IdeaPad 320-15IKB,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce 920MX,Windows,10,2.2kg,799
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",1366x768,8GB,2TB HDD,Nvidia GeForce 920MX ,No OS,,2.2kg,459
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,AMD Radeon R5 M430,Windows,10,2.3kg,585
Dell,Latitude 5580,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.9kg,1377
Dell,Alienware 17,Gaming,"17.3""",IPS Panel Full HD 1920x1080,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.42kg,3012.77
Toshiba,Satellite Pro,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,500GB HDD,Intel HD Graphics 620,Windows,10,2.0kg,860
Asus,Zenbook UX510UW-FI095T,Notebook,"15.6""",IPS Panel 4K Ultra HD 3840x2160,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows,10,2kg,1299
Mediacom,SmartBook Edge,Notebook,"13.3""",IPS Panel Full HD 1920x1080,4GB,32GB SSD,Intel HD Graphics 500,Windows,10,1.2kg,369
Asus,ROG Strix,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.3kg,1649
Dell,Latitude 5580,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 930MX,Windows,10,1.93kg,1369
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,797.41
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,Intel HD Graphics 405,Windows,10,1.86kg,398.99
HP,Omen 15-ce006nv,Gaming,"17.3""",Full HD 1920x1080,12GB,1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.62kg,1799
Lenovo,Thinkpad E470,Notebook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.87kg,859
Dell,XPS 13,Ultrabook,"13.3""",Quad HD+ / Touchscreen 3200x1800,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.2kg,1399
Dell,Vostro 5468,Notebook,"14.0""",Full HD 1920x1080,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.6kg,735.87
HP,Envy 13-AB020nr,Ultrabook,"13.3""",IPS Panel Quad HD+ 3200x1800,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.34kg,1145
Acer,Aspire 7,Gaming,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1050,Linux,,2.4kg,798
Asus,VivoBook X540YA-XX519T,Notebook,"15.6""",1366x768,4GB,500GB HDD,AMD Radeon R2 Graphics,Windows,10,2kg,349
HP,ProBook 450,Notebook,"15.6""",Full HD 1920x1080,4GB,128GB SSD,Intel HD Graphics 620,Windows,10,2.1kg,705.5
Lenovo,ThinkPad E470,Notebook,"14.0""",Full HD 1920x1080,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,1.87kg,785
Lenovo,V310-15ISK (i5-6200U/4GB/1TB/FHD/No,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 520,No OS,,2.15kg,462.35
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,1.86kg,397
Lenovo,ThinkPad T570,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.99kg,1729
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",Full HD 1920x1080,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,2.2kg,499
Dell,Latitude 5580,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.9kg,1116.99
Dell,Alienware 17,Gaming,"17.3""",IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.42kg,2699
HP,17-X047na (i3-6006U/8GB/1TB/W10),Notebook,"17.3""",1600x900,8GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.65kg,544.15
HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce 930MX,Windows,10,2.63kg,1280
Asus,A541NA-GO342 (N3350/4GB/500GB/Linux),Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 500,Linux,,2kg,224
Mediacom,SmartBook 130,Notebook,"13.3""",IPS Panel Full HD 1920x1080,4GB,32GB Flash Storage,Intel HD Graphics,Windows,10,1.35kg,255
Lenovo,IdeaPad 320-17IKB,Notebook,"17.3""",1600x900,6GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,10,2.8kg,949
HP,15-bw007nv (A10-9620P/6GB/128GB/Radeon,Notebook,"15.6""",IPS Panel Full HD 1920x1080,6GB,128GB SSD,AMD Radeon 530,Windows,10,1.91kg,568.9
Dell,Vostro 3568,Notebook,"15.6""",1366x768,4GB,1TB HDD,AMD Radeon R5 M420,Windows,10,2.18kg,617.9
Acer,Spin SP111-31,2 in 1 Convertible,"11.6""",IPS Panel Full HD / Touchscreen 1920x1080,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.25kg,349
Lenovo,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,128GB SSD,Intel HD Graphics 620,Windows,10,2.05kg,630
HP,EliteBook 1030,Ultrabook,"13.3""",IPS Panel Quad HD+ / Touchscreen 3200x1800,16GB,512GB SSD,Intel HD Graphics 515,Windows,10,1.16kg,1965
Lenovo,Thinkpad P71,Notebook,"17.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia Quadro M620M,Windows,10,3.4kg,2999
Asus,FX553VD-DM627T (i5-7300HQ/8GB/1TB,Notebook,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,839
Dell,XPS 13,Ultrabook,"13.3""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8GB,128GB SSD,Intel UHD Graphics 620,Windows,10,1.21kg,1599
Dell,Latitude 5580,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,1.93kg,959
Fujitsu,Lifebook A557,Notebook,"15.6""",1366x768,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.2kg,739
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,Intel HD Graphics 505,Windows,10,2.2kg,344
Lenovo,ThinkPad L470,Notebook,"14.0""",1366x768,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,2.02kg,990
HP,ZBook 17,Workstation,"17.3""",1600x900,8GB,500GB HDD,Nvidia Quadro M1200,Windows,10,3.14kg,1860.99
HP,14-am079na (N3710/8GB/2TB/W10),Notebook,"14.0""",1366x768,8GB,2TB HDD,Intel HD Graphics 405,Windows,10,1.94kg,389
HP,15-cd005nv (A9-9420/6GB/256GB/Radeon,Notebook,"15.6""",IPS Panel Full HD 1920x1080,6GB,256GB SSD,AMD Radeon 530,Windows,10,1.95kg,649
Lenovo,Thinkpad E570,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.3kg,830
Lenovo,V330-15IKB (i5-8250U/4GB/500GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,2.05kg,685
Mediacom,SmartBook 141,Notebook,"14.0""",Full HD 1920x1080,4GB,32GB SSD,Intel HD Graphics,Windows,10,1.4kg,249
Toshiba,Tecra X40-D-10H,Ultrabook,"14.0""",Full HD / Touchscreen 1920x1080,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.24kg,1865
Lenovo,IdeaPad Y910-17ISK,Gaming,"17.3""",IPS Panel Full HD 1920x1080,32GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.6kg,2663
MSI,GT73VR Titan,Gaming,"17.3""",Full HD 1920x1080,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.14kg,2729
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon R5 M430,Linux,,2.2kg,749.01
Mediacom,SmartBook Edge,Notebook,"14.0""",IPS Panel Full HD 1920x1080,4GB,32GB SSD,Intel HD Graphics 500,Windows,10,1.45kg,389
Dell,Latitude 5580,Notebook,"15.6""",1366x768,8GB,500GB HDD,Intel HD Graphics 620,Windows,10,1.9kg,1008.52
HP,ProBook 430,Notebook,"13.3""",Full HD 1920x1080,4GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.49kg,719
Dell,Latitude 5580,Notebook,"15.6""",Full HD 1920x1080,16GB,256GB SSD,Nvidia GeForce 930MX,Windows,10,1.93kg,1537.39
Dell,Chromebook 11,Netbook,"11.6""",1366x768,4GB,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,,1.26kg,295
MSI,GT80S 6QE,Gaming,"17.3""",Full HD 1920x1080,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,Windows,10,4.5kg,2349
HP,Omen 17-AN010nv,Gaming,"17.3""",IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,3.78kg,1498
Lenovo,Thinkpad T460s,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,12GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.4kg,1673
Lenovo,Ideapad 320-15IKBR,Notebook,"15.6""",Touchscreen 1366x768,12GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.2kg,609
Asus,ROG Strix,Gaming,"17.3""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.73kg,1770
Asus,TP501UA-CJ131T (i5-7200U/8GB/1TB/W10),2 in 1 Convertible,"15.6""",Touchscreen 1366x768,8GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.2kg,739
Lenovo,IdeaPad 320-15ABR,Notebook,"15.6""",Full HD 1920x1080,12GB,512GB SSD,AMD Radeon 530,Windows,10,2.2kg,949
Dell,Inspiron 3179,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,4GB,128GB SSD,Intel HD Graphics 615,Windows,10,1.39kg,603
Samsung,Notebook Odyssey,Notebook,"15.6""",Full HD 1920x1080,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,1699
Lenovo,V320-17ISK (i3-6006U/4GB/500GB/FHD/No,Notebook,"17.3""",Full HD 1920x1080,4GB,500GB HDD,Intel HD Graphics 520,No OS,,2.8kg,529
Lenovo,IdeaPad 110-15ISK,Notebook,"15.6""",1366x768,8GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.29kg,459
Lenovo,ThinkPad Yoga,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.37kg,2025
Lenovo,Thinkpad T470p,Notebook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 630,Windows,10,1.7kg,1474
Dell,Latitude 5289,2 in 1 Convertible,"12.5""",Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.34kg,1670
Dell,Precision 3520,Workstation,"15.6""",Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Nvidia Quadro M620,Windows,10,2.06kg,1763
HP,EliteBook 850,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.84kg,1219
HP,ProBook 450,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,2.1kg,668.48
Acer,Aspire 1,Notebook,"14.0""",Full HD 1920x1080,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.6kg,329
MSI,Laptop MSI,Gaming,"17.3""",Full HD 1920x1080,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 970M,Windows,10,4.14kg,2199
Dell,Vostro 3568,Notebook,"15.6""",1366x768,4GB,1TB HDD,AMD Radeon R5 M420,Linux,,2.18kg,465
MSI,GS63VR 7RF,Gaming,"15.6""",4K Ultra HD 3840x2160,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1060,Windows,10,1.8kg,2299
Toshiba,Tecra Z50-C-144,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,2.2kg,1399
Lenovo,IdeaPad 310-15IKB,Notebook,"15.6""",Full HD 1920x1080,6GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.4kg,564
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,"15.6""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 630,Windows,10,2kg,1299
Acer,Swift SF114-31-P5HY,Notebook,"14.0""",1366x768,4GB,128GB Flash Storage,Intel HD Graphics 405,Windows,10,1.6kg,349
Lenovo,Thinkpad P51,Notebook,"15.6""",IPS Panel 4K Ultra HD 3840x2160,32GB,1TB SSD,Nvidia Quadro M2200M,Windows,10,2.5kg,4899
Dell,Inspiron 7559,Gaming,"15.6""",Full HD 1920x1080,16GB,1TB HDD,Nvidia GeForce GTX 960<U+039C>,Windows,10,2.59kg,879.01
Dell,Vostro 3568,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 520,Linux,,2.18kg,443.9
Dell,Inspiron 3567,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 520,Linux,,2.25kg,359
Dell,Latitude 5580,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 620,Linux,,1.93kg,869
Asus,FX753VD-GC007T (i7-7700HQ/8GB/1TB,Gaming,"17.3""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,3kg,1168
Dell,Vostro 3568,Notebook,"15.6""",Full HD 1920x1080,4GB,128GB SSD,AMD Radeon R5 M420,Linux,,2.18kg,569
HP,EliteBook 850,Ultrabook,"15.6""",Full HD 1920x1080,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.84kg,1389
MSI,GT62VR 7RE,Gaming,"15.6""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.94kg,2267.86
Acer,CB5-132T-C9KK (N3160/4GB/32GB/Chrome,2 in 1 Convertible,"11.6""",IPS Panel Touchscreen 1366x768,4GB,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,,1.25kg,379
HP,ProBook 650,Notebook,"14.0""",1366x768,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.31kg,1124
Lenovo,ThinkPad T470,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 520,Windows,7,1.65kg,1465
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,AMD Radeon 530,Windows,10,2.2kg,776
Fujitsu,LifeBook A557,Notebook,"15.6""",1366x768,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.2kg,799
HP,EliteBook 850,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 520,Windows,7,1.88kg,932
Lenovo,IdeaPad 320-15IKB,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce 920MX,Windows,10,2.2kg,899
Mediacom,SmartBook 140,Notebook,"14.0""",Full HD 1920x1080,2GB,32GB Flash Storage,Intel HD Graphics,Windows,10,1.4kg,239
Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",Full HD 1920x1080,4GB,128GB SSD,Intel HD Graphics 620,No OS,,2.2kg,468
Asus,Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10),2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,6GB,1TB HDD,Intel HD Graphics 620,Windows,10,1.5kg,639.01
Dell,XPS 15,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2kg,1820
Asus,ZenBook 3,Ultrabook,"14.0""",Full HD 1920x1080,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.1kg,1900
Dell,Inspiron 7567,Gaming,"15.6""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.62kg,1479
Lenovo,V330-15IKB (i5-8250U/4GB/256GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.8kg,829
Lenovo,Ideapad 320-15ISK,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce 920MX ,Windows,10,2.2kg,579
Asus,X541NA-GO414T (N3350/8GB/1TB/W10),Notebook,"15.6""",1366x768,8GB,1TB HDD,Intel HD Graphics 500,Windows,10,2kg,399
Asus,VivoBook Pro,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,1.99kg,906.62
Dell,XPS 13,Ultrabook,"13.3""",Quad HD+ / Touchscreen 3200x1800,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.23kg,1869
Lenovo,IdeaPad 100S-14IBR,Notebook,"14.0""",1366x768,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows,10,1.42kg,249
Lenovo,Thinkpad Yoga,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.37kg,1757.42
Dell,XPS 15,Notebook,"15.6""",4K Ultra HD / Touchscreen 3840x2160,16GB,1TB SSD,Nvidia GeForce GTX 1050,Windows,10,2.06kg,2399
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050M,Windows,10,2.5kg,1109
HP,17-AK091ND (A9-9420/8GB/1TB/W10),Notebook,"17.0""",1600x900,8GB,1TB HDD,AMD Radeon R5,Windows,10,2.6kg,520.9
Lenovo,ThinkPad X1,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.14kg,2450
Asus,ROG GL553VE-FY022,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,No OS,,2.5kg,1169
Acer,Extensa EX2540,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,2.4kg,450
Lenovo,IdeaPad 100S-14IBR,Notebook,"14.0""",1366x768,4GB,32GB Flash Storage,Intel HD Graphics,Windows,10,1.43kg,274
Acer,Swift 3,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel Graphics 620,Windows,10,1.8kg,919
Razer,Blade Pro,Gaming,"14.0""",Full HD 1920x1080,16GB,256GB SSD,Nvidia GeForce GTX 1060,Windows,10,1.95kg,2599
Toshiba,Portege Z30-C-16J,Notebook,"13.3""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.2kg,1213
Lenovo,Thinkpad X270,Ultrabook,"12.5""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.36kg,1584
Asus,ROG G701VI,Gaming,"17.3""",IPS Panel Full HD 1920x1080,32GB,512GB SSD,Nvidia GeForce GTX 1080,Windows,10,3.8kg,2799
Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,Gaming,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1050,Linux,,2.4kg,709
Dell,XPS 13,Ultrabook,"13.3""",Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.2kg,1449.9
MSI,GL62M 7REX,Gaming,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.2kg,1191.8
HP,250 G6,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 520,No OS,,1.86kg,364.9
Toshiba,Tecra A50-D-11M,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,500GB HDD,Intel HD Graphics 620,Windows,10,2.0kg,1064
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,919
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.2kg,1135
Lenovo,IdeaPad Y700-15ISK,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960,Windows,10,3.31kg,1196
Dell,Alienware 17,Gaming,"17.3""",IPS Panel 4K Ultra HD 3840x2160,32GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.42kg,3147.37
Dell,Latitude E7470,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.56kg,1229
Lenovo,Ideapad 320-15IAP,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 500,Windows,10,2.2kg,419
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,2.2kg,535
HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,Notebook,"15.6""",1920x1080,6GB,1TB HDD,AMD Radeon R5 M430,Windows,10,2.04kg,539
MSI,GP72VR Leopard,Gaming,"17.3""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.7kg,1486.77
Toshiba,Satellite Pro,Notebook,"15.6""",1366x768,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,2.1kg,498
Dell,Latitude 3580,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.06kg,955
HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,AMD Radeon 530,Windows,10,2.1kg,745
Toshiba,Tecra Z50-D-10E,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.0kg,1258
Acer,Aspire 3,Notebook,"15.6""",1366x768,4GB,128GB SSD,Intel HD Graphics 520,Linux,,2.1kg,412
Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows,10 S,1.252kg,1867.85
Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,AMD Radeon R5 M430,Windows,10,1.90kg,817.95
Lenovo,Yoga 720-13IKB,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.3kg,1034
Lenovo,IdeaPad 320-15AST,Notebook,"15.6""",1366x768,4GB,128GB SSD,AMD Radeon R2 Graphics,Windows,10,2.2kg,349
HP,Pavilion X360,2 in 1 Convertible,"14.0""",IPS Panel Full HD / Touchscreen 1920x1080,4GB,128GB SSD,Nvidia GeForce 940MX,Windows,10,1.63kg,699
MSI,GP62 7RDX,Gaming,"15.6""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.4kg,1294
Asus,Zenbook 3,Ultrabook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.1kg,1135
HP,Chromebook X360,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,8GB,64GB Flash Storage,Intel HD Graphics 500,Chrome OS,,1.4kg,495
LG,Gram 15Z975,Ultrabook,"15.6""",IPS Panel Full HD 1920x1080,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.09kg,2299
Acer,Aspire VX5-591G,Gaming,"15.6""",Full HD 1920x1080,16GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5kg,1299
MSI,GV62M 7RD,Gaming,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,997.9
Asus,L502NA-GO052T (N3350/4GB/128GB/W10),Notebook,"15.6""",1366x768,4GB,128GB SSD,Intel HD Graphics 500,Windows,10,1.86kg,419
Dell,Alienware 15,Gaming,"15.6""",Full HD 1920x1080,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,3.21kg,2051
HP,17-bs000nv I3,Notebook,"17.3""",IPS Panel Full HD 1920x1080,4GB,256GB SSD,AMD Radeon R5 520,Windows,10,2.5kg,699
Lenovo,Yoga 730,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.19kg,1499
Dell,Alienware 15,Gaming,"15.6""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,3.49kg,2813.75
HP,250 G6,Notebook,"15.6""",1366x768,4GB,500GB HDD,AMD Radeon 520,Windows,10,1.86kg,612.61
Dell,Inspiron 3567,Notebook,"15.6""",1366x768,4GB,1TB HDD,AMD Radeon R5 M430,Windows,10,2.2kg,545.67
HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,Notebook,"17.3""",IPS Panel Full HD 1920x1080,6GB,2TB HDD,AMD Radeon R7 M440,Windows,10,2.65kg,569
Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 510,Windows,10,2.1kg,318
Acer,Chromebook 14,Notebook,"14.0""",1366x768,4GB,32GB Flash Storage,Intel HD Graphics 510,Chrome OS,,1.45kg,375
